,count_pos_tweets,count_neg_tweets,ratio_pos_tweets,average_lenContent,average_replyCount,average_retweetCount,average_likeCount,average_quoteCount,average_followerCount,average_friendCount,average_pos,average_neu,average_neg,average_compound,count_all,count_hasLinks,count_hasMedia,count_isRetweeted,count_isQuoted,count_hasHashtags,count_verified
2020-04-08,130.0,91.0,0.5882352941176471,220.6346153846154,42.011538461538464,161.38846153846154,488.5923076923077,35.63846153846154,546852.1307692308,3966.6384615384613,0.1556346153846154,0.738680769230769,0.10568076923076919,0.08845192307692305,260.0,61.0,117.0,0.0,22.0,164.0,0.0
2020-04-09,193.0,97.0,0.6655172413793103,225.02769230769232,48.88,112.29230769230769,393.59076923076924,18.46153846153846,393093.4892307692,3404.492307692308,0.18217538461538468,0.7188553846153848,0.0989907692307692,0.20258307692307692,325.0,67.0,167.0,0.0,36.0,226.0,0.0
2020-04-10,109.0,70.0,0.6089385474860335,225.5095238095238,29.409523809523808,97.42857142857143,414.1904761904762,11.433333333333334,704203.6,2723.947619047619,0.14170476190476192,0.7482666666666666,0.11003333333333336,0.06558095238095234,210.0,42.0,99.0,0.0,13.0,142.0,0.0
2020-04-11,82.0,53.0,0.6074074074074074,226.32903225806453,35.38709677419355,162.2516129032258,543.5677419354839,13.961290322580645,359373.22580645164,4862.961290322581,0.15432903225806452,0.7363741935483875,0.10927096774193551,0.11926258064516132,155.0,21.0,83.0,0.0,19.0,94.0,0.0
2020-04-12,85.0,38.0,0.6910569105691057,230.22222222222223,33.708333333333336,172.04166666666666,656.7569444444445,16.520833333333332,489361.375,2491.9166666666665,0.18315972222222232,0.7250555555555555,0.09179166666666665,0.23260416666666664,144.0,29.0,68.0,0.0,16.0,74.0,0.0
2020-04-13,72.0,45.0,0.6153846153846154,236.2290076335878,33.50381679389313,217.5114503816794,549.8854961832061,31.427480916030536,470686.24427480914,4349.572519083969,0.14640458015267177,0.7470610687022903,0.10648854961832062,0.09729312977099239,131.0,34.0,65.0,0.0,8.0,82.0,0.0
2020-04-14,104.0,56.0,0.65,226.7157894736842,26.289473684210527,121.6,409.9736842105263,12.56842105263158,562205.447368421,3504.021052631579,0.14740526315789468,0.7621157894736843,0.09050000000000002,0.1329642105263158,190.0,48.0,85.0,0.0,19.0,110.0,0.0
2020-04-15,79.0,57.0,0.5808823529411765,231.39520958083833,42.97604790419162,157.10179640718562,500.80838323353294,21.317365269461078,395310.5988023952,2936.0299401197603,0.13326946107784426,0.7642994011976048,0.10241317365269462,0.08070718562874252,167.0,37.0,77.0,0.0,14.0,91.0,0.0
2020-04-16,86.0,49.0,0.6370370370370371,221.86144578313252,119.8433734939759,111.02409638554217,393.19879518072287,142.1987951807229,468241.843373494,5173.969879518072,0.15504819277108442,0.7526024096385548,0.09233132530120483,0.15249819277108434,166.0,36.0,85.0,0.0,13.0,107.0,0.0
2020-04-17,68.0,62.0,0.5230769230769231,225.71428571428572,55.357142857142854,217.2012987012987,783.2337662337662,34.85064935064935,924256.8896103896,4489.181818181818,0.1446038961038961,0.7350454545454549,0.12036363636363637,0.034401948051948066,154.0,35.0,70.0,0.0,20.0,89.0,0.0
2020-04-18,182.0,111.0,0.621160409556314,226.0441176470588,55.44705882352941,117.05,549.3735294117647,16.141176470588235,366386.4882352941,6809.879411764706,0.15462058823529412,0.7402058823529413,0.10519705882352938,0.1309447058823529,340.0,66.0,184.0,0.0,39.0,226.0,0.0
2020-04-19,143.0,77.0,0.65,220.02255639097746,32.1015037593985,111.60902255639098,414.6954887218045,10.88345864661654,730788.7894736842,13111.131578947368,0.16187969924812026,0.7479586466165419,0.09018421052631581,0.16572932330827073,266.0,67.0,134.0,0.0,33.0,175.0,0.0
2020-04-20,109.0,49.0,0.689873417721519,226.00537634408602,21.376344086021504,81.13978494623656,290.2795698924731,11.602150537634408,309245.32795698923,4106.424731182796,0.16717204301075272,0.7418924731182793,0.0909301075268817,0.16342365591397837,186.0,32.0,90.0,0.0,19.0,101.0,0.0
2020-04-21,77.0,46.0,0.6260162601626016,231.76223776223776,19.321678321678323,86.72027972027972,251.1958041958042,9.587412587412587,444172.4265734266,4020.846153846154,0.1496363636363637,0.750902097902098,0.09947552447552449,0.11467132867132869,143.0,34.0,57.0,0.0,17.0,86.0,0.0
2020-04-22,82.0,51.0,0.6165413533834586,224.89473684210526,33.44078947368421,104.75,382.55263157894734,11.789473684210526,210921.3552631579,6224.671052631579,0.1506447368421053,0.7473486842105264,0.10196052631578946,0.12659934210526314,152.0,37.0,74.0,0.0,6.0,98.0,0.0
